year,InnerOF_TOTN_tonnes,InnerOF_TOTP_tonnes,VEAS_TOTN_tonnes,VEAS_TOTP_tonnes,VEAS_TOTN_pct,VEAS_TOTP_pct
1990,932.1353485824405,30.13348052495134,,,,
1991,939.3699251623432,29.328409707525616,,,,
1992,820.5816146425814,29.55121150188338,,,,
1993,3650.219052316782,94.20088067315602,1601.0,36.593,43.86038144707646,38.845709019393205
1994,2125.25663597255,62.225573956598964,720.0,25.0,33.87826146796229,40.17640723962944
1995,3985.1807089826802,86.36722846322468,2081.56,39.078,52.23251219971331,45.246328607892615
1996,3066.822903356362,102.39474305920041,820.304,39.046,26.74768077094543,38.13281701134326
1997,3096.6214228530935,98.97394604106736,820.304,39.046,26.490290157723162,39.45078635522787
1998,2919.801747260901,81.37156892556104,729.048,33.6828,24.969092531159976,41.393819050992036
1999,3001.3525181756336,76.90448896499734,784.52,26.0527,26.138882228898222,33.87669608188638
2000,2708.8752365111195,67.25119456332948,700.27,13.17,25.85095062930653,19.58329526414286
2001,2297.2841939932605,73.6022959032831,796.614,21.97,34.676336610111946,29.84961233936183
2002,1829.7640352316214,63.61065928479783,589.0,20.9,32.189943001335756,32.85612857182702
2003,1822.789319540093,56.558722009804555,554.0,23.0,30.39298036592509,40.66569961749296
2004,1961.4542853061569,58.728860271767594,720.0,25.0,36.70745759377296,42.568508709878905
2005,1976.409307463804,63.21882483278942,774.0,30.7,39.16192850726974,48.56148478115488
2006,2220.0113591981444,66.39512540560355,825.0,28.0,37.16197201342183,42.17177063669931
2007,2141.216473314413,66.31707607832139,861.0,28.2,40.210787219811,42.52298452768847
2008,2147.195828913992,59.6364983811965,822.74,25.23,38.31695222769342,42.306306850428804
2009,2109.762320297884,56.09382548708305,815.9,24.29,38.67260269795702,43.30244869035248
2010,2067.575919666311,63.18382874423974,,,,
2011,2241.8810677739684,70.28038447399379,823.905,27.53,36.75061143266089,39.171669600337864
2012,2240.8808974309068,68.12830621212088,,,,
2013,2284.9442793842823,64.77200326608016,902.977,29.68,39.518556673221056,45.82226657106163
2014,2592.7249278536397,79.80853750751619,1208.27,34.16,46.60232124972292,42.80243826894194
2015,2750.9087431802222,73.63789096056158,1401.0,32.5,50.92862507610327,44.13488704803632
2016,2698.564504832717,65.28966903928573,1382.0,26.1,51.212413026446065,39.97569659036755
2017,2773.125479762337,76.11741043668647,1423.98555,32.66108,51.3494813124013,42.908816540950355
2018,2249.7314198569957,78.51171962515693,936.438885,28.559279999999998,41.624474669937484,36.37581769492788
2019,2389.1936776782845,89.16106025593004,965.5391800000001,33.52548,40.412763059806416,37.601033347705446
2020,2347.7775438613253,85.22642650418199,818.89739,34.548919999999995,34.879684071480725,40.53780196721578
2021,2018.7085750655065,66.10252545440444,816.42774,24.167080000000002,40.44307088622275,36.55999499848116
2022,,,747.4751600000001,21.41521,,
